size,density,noise,neg,start,end,baseline_cost,my_cost,nodes_visited,error,path_length,path,algorithm
10,0.2,0.0,False,0,7,392.0,392.0,2,0.0,2,"[0, 7]",astar
10,0.2,0.0,False,6,4,1014.0,1014.0,3,0.0,3,"[6, 7, 4]",astar
10,0.2,0.0,False,4,8,1081.0,1081.0,3,0.0,3,"[4, 0, 8]",astar
10,0.2,0.0,False,0,6,1199.0,1199.0,4,0.0,3,"[0, 8, 6]",astar
10,0.2,0.0,False,2,0,2400.0,2400.0,7,0.0,5,"[2, 9, 7, 4, 0]",astar
10,0.2,0.0,True,0,7,392.0,392.0,9,0.0,2,"[0, 7]",spfa
10,0.2,0.0,True,6,4,1014.0,1014.0,9,0.0,3,"[6, 7, 4]",spfa
10,0.2,0.0,True,4,8,1081.0,1081.0,9,0.0,3,"[4, 0, 8]",spfa
10,0.2,0.0,True,0,6,1199.0,1199.0,9,0.0,3,"[0, 8, 6]",spfa
10,0.2,0.0,True,2,0,2400.0,2400.0,9,0.0,5,"[2, 9, 7, 4, 0]",spfa
10,0.2,0.1,False,0,7,397.0,397.0,2,0.0,2,"[0, 7]",astar
10,0.2,0.1,False,6,4,1091.0,1091.0,3,0.0,3,"[6, 7, 4]",astar
10,0.2,0.1,False,4,8,1163.0,1163.0,3,0.0,3,"[4, 0, 8]",astar
10,0.2,0.1,False,0,6,1259.0,1259.0,4,0.0,3,"[0, 8, 6]",astar
10,0.2,0.1,False,2,0,2583.0,2583.0,7,0.0,5,"[2, 9, 7, 4, 0]",astar
10,0.2,0.1,True,0,7,301.0,301.0,10,0.0,2,"[0, 7]",spfa
10,0.2,0.1,True,6,4,968.0,968.0,9,0.0,3,"[6, 7, 4]",spfa
10,0.2,0.1,True,4,8,1045.0,1045.0,9,0.0,3,"[4, 0, 8]",spfa
10,0.2,0.1,True,0,6,1119.0,1119.0,10,0.0,3,"[0, 8, 6]",spfa
10,0.2,0.1,True,2,0,2367.0,2367.0,9,0.0,5,"[2, 9, 7, 4, 0]",spfa
10,0.2,0.5,False,0,7,414.0,414.0,2,0.0,2,"[0, 7]",astar
10,0.2,0.5,False,6,4,1396.0,1396.0,3,0.0,3,"[6, 7, 4]",astar
10,0.2,0.5,False,4,8,1492.0,1492.0,3,0.0,3,"[4, 0, 8]",astar
10,0.2,0.5,False,0,6,1501.0,1501.0,4,0.0,3,"[0, 8, 6]",astar
10,0.2,0.5,False,2,0,3315.0,3315.0,7,0.0,5,"[2, 9, 7, 4, 0]",astar
10,0.2,0.5,True,6,4,778.0,778.0,9,0.0,3,"[6, 7, 4]",spfa
10,0.2,0.5,True,4,8,566.0,566.0,11,0.0,4,"[4, 0, 7, 8]",spfa
10,0.2,0.5,True,0,6,466.0,466.0,12,0.0,4,"[0, 7, 8, 6]",spfa
10,0.2,0.5,True,2,0,2229.0,2229.0,9,0.0,5,"[2, 9, 7, 4, 0]",spfa
10,0.2,0.8,False,0,7,428.0,428.0,2,0.0,2,"[0, 7]",astar
10,0.2,0.8,False,6,4,1625.0,1625.0,3,0.0,3,"[6, 7, 4]",astar
10,0.2,0.8,False,4,8,1739.0,1739.0,3,0.0,3,"[4, 0, 8]",astar
10,0.2,0.8,False,0,6,1682.0,1682.0,4,0.0,3,"[0, 8, 6]",astar
10,0.2,0.8,False,2,0,3863.0,3863.0,7,0.0,5,"[2, 9, 7, 4, 0]",astar
10,0.2,0.8,True,6,4,636.0,636.0,9,0.0,3,"[6, 7, 4]",spfa
10,0.2,0.8,True,4,8,164.0,164.0,11,0.0,4,"[4, 0, 7, 8]",spfa
10,0.2,0.8,True,2,0,2127.0,2127.0,9,0.0,5,"[2, 9, 7, 4, 0]",spfa
10,0.5,0.0,False,0,7,392.0,392.0,2,0.0,2,"[0, 7]",astar
10,0.5,0.0,False,6,4,840.0,840.0,3,0.0,3,"[6, 3, 4]",astar
10,0.5,0.0,False,4,8,576.0,576.0,2,0.0,2,"[4, 8]",astar
10,0.5,0.0,False,0,6,405.0,405.0,2,0.0,2,"[0, 6]",astar
10,0.5,0.0,False,2,0,866.0,866.0,2,0.0,2,"[2, 0]",astar
10,0.5,0.0,True,0,7,392.0,392.0,10,0.0,2,"[0, 7]",spfa
10,0.5,0.0,True,6,4,840.0,840.0,10,0.0,3,"[6, 3, 4]",spfa
10,0.5,0.0,True,4,8,576.0,576.0,10,0.0,2,"[4, 8]",spfa
10,0.5,0.0,True,0,6,405.0,405.0,10,0.0,2,"[0, 6]",spfa
10,0.5,0.0,True,2,0,866.0,866.0,10,0.0,2,"[2, 0]",spfa
10,0.5,0.1,False,0,7,397.0,397.0,2,0.0,2,"[0, 7]",astar
10,0.5,0.1,False,6,4,927.0,927.0,3,0.0,3,"[6, 3, 4]",astar
10,0.5,0.1,False,4,8,579.0,579.0,2,0.0,2,"[4, 8]",astar
10,0.5,0.1,False,0,6,452.0,452.0,2,0.0,2,"[0, 6]",astar
10,0.5,0.1,False,2,0,910.0,910.0,2,0.0,2,"[2, 0]",astar
10,0.5,0.1,True,0,7,301.0,301.0,12,0.0,2,"[0, 7]",spfa
10,0.5,0.1,True,6,4,814.0,814.0,10,0.0,3,"[6, 3, 4]",spfa
10,0.5,0.1,True,4,8,482.0,482.0,10,0.0,2,"[4, 8]",spfa
10,0.5,0.1,True,0,6,399.0,399.0,12,0.0,2,"[0, 6]",spfa
10,0.5,0.1,True,2,0,854.0,854.0,10,0.0,2,"[2, 0]",spfa
10,0.5,0.5,False,0,7,414.0,414.0,2,0.0,2,"[0, 7]",astar
10,0.5,0.5,False,6,4,1275.0,1275.0,5,0.0,3,"[6, 3, 4]",astar
10,0.5,0.5,False,4,8,591.0,591.0,2,0.0,2,"[4, 8]",astar
10,0.5,0.5,False,0,6,639.0,639.0,2,0.0,2,"[0, 6]",astar
10,0.5,0.5,False,2,0,1085.0,1085.0,3,0.0,2,"[2, 0]",astar
10,0.5,0.8,False,0,7,428.0,428.0,2,0.0,2,"[0, 7]",astar
10,0.5,0.8,False,6,4,1537.0,1537.0,5,0.0,3,"[6, 3, 4]",astar
10,0.5,0.8,False,4,8,600.0,600.0,2,0.0,2,"[4, 8]",astar
10,0.5,0.8,False,0,6,779.0,779.0,2,0.0,2,"[0, 6]",astar
10,0.5,0.8,False,2,0,1216.0,1216.0,3,0.0,2,"[2, 0]",astar
10,0.8,0.0,False,0,7,392.0,392.0,2,0.0,2,"[0, 7]",astar
10,0.8,0.0,False,6,4,636.0,636.0,2,0.0,2,"[6, 4]",astar
10,0.8,0.0,False,4,8,576.0,576.0,2,0.0,2,"[4, 8]",astar
10,0.8,0.0,False,0,6,405.0,405.0,2,0.0,2,"[0, 6]",astar
10,0.8,0.0,False,2,0,866.0,866.0,2,0.0,2,"[2, 0]",astar
10,0.8,0.0,True,0,7,392.0,392.0,10,0.0,2,"[0, 7]",spfa
10,0.8,0.0,True,6,4,636.0,636.0,10,0.0,2,"[6, 4]",spfa
10,0.8,0.0,True,4,8,576.0,576.0,10,0.0,2,"[4, 8]",spfa
10,0.8,0.0,True,0,6,405.0,405.0,10,0.0,2,"[0, 6]",spfa
10,0.8,0.0,True,2,0,866.0,866.0,10,0.0,2,"[2, 0]",spfa
10,0.8,0.1,False,0,7,397.0,397.0,2,0.0,2,"[0, 7]",astar
10,0.8,0.1,False,6,4,638.0,638.0,2,0.0,2,"[6, 4]",astar
10,0.8,0.1,False,4,8,579.0,579.0,2,0.0,2,"[4, 8]",astar
10,0.8,0.1,False,0,6,452.0,452.0,2,0.0,2,"[0, 6]",astar
10,0.8,0.1,False,2,0,910.0,910.0,2,0.0,2,"[2, 0]",astar
10,0.8,0.1,True,0,7,301.0,301.0,12,0.0,2,"[0, 7]",spfa
10,0.8,0.1,True,6,4,541.0,541.0,11,0.0,2,"[6, 4]",spfa
10,0.8,0.1,True,4,8,482.0,482.0,11,0.0,2,"[4, 8]",spfa
10,0.8,0.1,True,0,6,399.0,399.0,12,0.0,2,"[0, 6]",spfa
10,0.8,0.1,True,2,0,854.0,854.0,14,0.0,2,"[2, 0]",spfa
10,0.8,0.5,False,0,7,414.0,414.0,2,0.0,2,"[0, 7]",astar
10,0.8,0.5,False,6,4,647.0,647.0,2,0.0,2,"[6, 4]",astar
10,0.8,0.5,False,4,8,591.0,591.0,2,0.0,2,"[4, 8]",astar
10,0.8,0.5,False,0,6,639.0,639.0,2,0.0,2,"[0, 6]",astar
10,0.8,0.5,False,2,0,1085.0,1085.0,3,0.0,2,"[2, 0]",astar
10,0.8,0.8,False,0,7,428.0,428.0,2,0.0,2,"[0, 7]",astar
10,0.8,0.8,False,6,4,654.0,654.0,2,0.0,2,"[6, 4]",astar
10,0.8,0.8,False,4,8,600.0,600.0,2,0.0,2,"[4, 8]",astar
10,0.8,0.8,False,0,6,779.0,779.0,2,0.0,2,"[0, 6]",astar
10,0.8,0.8,False,2,0,1216.0,1216.0,3,0.0,2,"[2, 0]",astar
10,1.0,0.0,False,0,7,392.0,392.0,2,0.0,2,"[0, 7]",astar
10,1.0,0.0,False,6,4,636.0,636.0,2,0.0,2,"[6, 4]",astar
10,1.0,0.0,False,4,8,576.0,576.0,2,0.0,2,"[4, 8]",astar
10,1.0,0.0,False,0,6,405.0,405.0,2,0.0,2,"[0, 6]",astar
10,1.0,0.0,False,2,0,866.0,866.0,2,0.0,2,"[2, 0]",astar
10,1.0,0.0,True,0,7,392.0,392.0,10,0.0,2,"[0, 7]",spfa
10,1.0,0.0,True,6,4,636.0,636.0,10,0.0,2,"[6, 4]",spfa
10,1.0,0.0,True,4,8,576.0,576.0,10,0.0,2,"[4, 8]",spfa
10,1.0,0.0,True,0,6,405.0,405.0,10,0.0,2,"[0, 6]",spfa
10,1.0,0.0,True,2,0,866.0,866.0,10,0.0,2,"[2, 0]",spfa
10,1.0,0.1,False,0,7,397.0,397.0,2,0.0,2,"[0, 7]",astar
10,1.0,0.1,False,6,4,638.0,638.0,2,0.0,2,"[6, 4]",astar
10,1.0,0.1,False,4,8,579.0,579.0,2,0.0,2,"[4, 8]",astar
10,1.0,0.1,False,0,6,452.0,452.0,2,0.0,2,"[0, 6]",astar
10,1.0,0.1,False,2,0,910.0,910.0,2,0.0,2,"[2, 0]",astar
10,1.0,0.1,True,0,7,301.0,301.0,12,0.0,2,"[0, 7]",spfa
10,1.0,0.1,True,6,4,541.0,541.0,13,0.0,2,"[6, 4]",spfa
10,1.0,0.1,True,4,8,468.0,468.0,13,0.0,3,"[4, 7, 8]",spfa
10,1.0,0.1,True,0,6,399.0,399.0,12,0.0,2,"[0, 6]",spfa
10,1.0,0.1,True,2,0,854.0,854.0,14,0.0,2,"[2, 0]",spfa
10,1.0,0.5,False,0,7,414.0,414.0,2,0.0,2,"[0, 7]",astar
10,1.0,0.5,False,6,4,647.0,647.0,2,0.0,2,"[6, 4]",astar
10,1.0,0.5,False,4,8,591.0,591.0,2,0.0,2,"[4, 8]",astar
10,1.0,0.5,False,0,6,639.0,639.0,2,0.0,2,"[0, 6]",astar
10,1.0,0.5,False,2,0,1085.0,1085.0,3,0.0,2,"[2, 0]",astar
10,1.0,0.8,False,0,7,428.0,428.0,2,0.0,2,"[0, 7]",astar
10,1.0,0.8,False,6,4,654.0,654.0,2,0.0,2,"[6, 4]",astar
10,1.0,0.8,False,4,8,600.0,600.0,2,0.0,2,"[4, 8]",astar
10,1.0,0.8,False,0,6,779.0,779.0,2,0.0,2,"[0, 6]",astar
10,1.0,0.8,False,2,0,1216.0,1216.0,3,0.0,2,"[2, 0]",astar
20,0.2,0.0,False,1,15,1282.0,1282.0,4,0.0,4,"[1, 12, 0, 15]",astar
20,0.2,0.0,False,13,8,760.0,760.0,5,0.0,4,"[13, 17, 16, 8]",astar
20,0.2,0.0,False,8,17,1047.0,1047.0,5,0.0,4,"[8, 18, 4, 17]",astar
20,0.2,0.0,False,1,13,762.0,762.0,2,0.0,2,"[1, 13]",astar
20,0.2,0.0,False,4,1,1286.0,1286.0,11,0.0,4,"[4, 17, 16, 1]",astar
20,0.2,0.0,True,1,15,1282.0,1282.0,22,0.0,4,"[1, 12, 0, 15]",spfa
20,0.2,0.0,True,13,8,760.0,760.0,28,0.0,4,"[13, 17, 16, 8]",spfa
20,0.2,0.0,True,8,17,1047.0,1047.0,20,0.0,4,"[8, 18, 4, 17]",spfa
20,0.2,0.0,True,1,13,762.0,762.0,22,0.0,2,"[1, 13]",spfa
20,0.2,0.0,True,4,1,1286.0,1286.0,20,0.0,4,"[4, 17, 16, 1]",spfa
20,0.2,0.1,False,1,15,1451.0,1451.0,5,0.0,4,"[1, 12, 0, 15]",astar
20,0.2,0.1,False,13,8,944.0,944.0,4,0.0,4,"[13, 17, 16, 8]",astar
20,0.2,0.1,False,8,17,1287.0,1287.0,6,0.0,4,"[8, 18, 4, 17]",astar
20,0.2,0.1,False,1,13,785.0,785.0,2,0.0,2,"[1, 13]",astar
20,0.2,0.1,False,4,1,1429.0,1429.0,12,0.0,4,"[4, 17, 16, 1]",astar
20,0.2,0.1,True,1,15,1297.0,1297.0,23,0.0,5,"[1, 12, 0, 3, 15]",spfa
20,0.2,0.1,True,13,8,828.0,828.0,26,0.0,4,"[13, 17, 16, 8]",spfa
20,0.2,0.1,True,8,17,1228.0,1228.0,22,0.0,4,"[8, 18, 4, 17]",spfa
20,0.2,0.1,True,1,13,709.0,709.0,23,0.0,2,"[1, 13]",spfa
20,0.2,0.1,True,4,1,1271.0,1271.0,27,0.0,4,"[4, 17, 16, 1]",spfa
20,0.2,0.5,False,1,15,2007.0,2007.0,8,0.0,3,"[1, 13, 15]",astar
20,0.2,0.5,False,13,8,1682.0,1682.0,4,0.0,4,"[13, 17, 16, 8]",astar
20,0.2,0.5,False,8,17,2250.0,2250.0,10,0.0,4,"[8, 18, 4, 17]",astar
20,0.2,0.5,False,1,13,879.0,879.0,3,0.0,2,"[1, 13]",astar
20,0.2,0.5,False,4,1,2000.0,2000.0,14,0.0,4,"[4, 17, 16, 1]",astar
20,0.2,0.5,True,1,15,1288.0,1288.0,24,0.0,3,"[1, 13, 15]",spfa
20,0.2,0.5,True,13,8,1104.0,1104.0,27,0.0,4,"[13, 17, 16, 8]",spfa
20,0.2,0.5,True,8,17,1156.0,1156.0,27,0.0,6,"[8, 7, 14, 2, 4, 17]",spfa
20,0.2,0.5,True,1,13,496.0,496.0,24,0.0,2,"[1, 13]",spfa
20,0.2,0.5,True,4,1,1214.0,1214.0,40,0.0,4,"[4, 17, 16, 1]",spfa
20,0.2,0.8,False,1,15,2176.0,2176.0,6,0.0,3,"[1, 13, 15]",astar
20,0.2,0.8,False,13,8,2234.0,2234.0,6,0.0,4,"[13, 17, 16, 8]",astar
20,0.2,0.8,False,8,17,2973.0,2973.0,13,0.0,4,"[8, 18, 4, 17]",astar
20,0.2,0.8,False,1,13,949.0,949.0,3,0.0,2,"[1, 13]",astar
20,0.2,0.8,False,4,1,2428.0,2428.0,13,0.0,4,"[4, 17, 16, 1]",astar
20,0.5,0.0,False,1,15,293.0,293.0,2,0.0,2,"[1, 15]",astar
20,0.5,0.0,False,13,8,90.0,90.0,2,0.0,2,"[13, 8]",astar
20,0.5,0.0,False,8,17,152.0,152.0,2,0.0,2,"[8, 17]",astar
20,0.5,0.0,False,1,13,762.0,762.0,2,0.0,2,"[1, 13]",astar
20,0.5,0.0,False,4,1,771.0,771.0,2,0.0,2,"[4, 1]",astar
20,0.5,0.0,True,1,15,293.0,293.0,21,0.0,2,"[1, 15]",spfa
20,0.5,0.0,True,13,8,90.0,90.0,23,0.0,2,"[13, 8]",spfa
20,0.5,0.0,True,8,17,152.0,152.0,20,0.0,2,"[8, 17]",spfa
20,0.5,0.0,True,1,13,762.0,762.0,21,0.0,2,"[1, 13]",spfa
20,0.5,0.0,True,4,1,771.0,771.0,22,0.0,2,"[4, 1]",spfa
20,0.5,0.1,False,1,15,321.0,321.0,2,0.0,2,"[1, 15]",astar
20,0.5,0.1,False,13,8,117.0,117.0,2,0.0,2,"[13, 8]",astar
20,0.5,0.1,False,8,17,164.0,164.0,2,0.0,2,"[8, 17]",astar
20,0.5,0.1,False,1,13,785.0,785.0,2,0.0,2,"[1, 13]",astar
20,0.5,0.1,False,4,1,836.0,836.0,2,0.0,2,"[4, 1]",astar
20,0.5,0.1,True,1,15,249.0,249.0,21,0.0,2,"[1, 15]",spfa
20,0.5,0.1,True,13,8,43.0,43.0,26,0.0,2,"[13, 8]",spfa
20,0.5,0.1,True,8,17,76.0,76.0,27,0.0,2,"[8, 17]",spfa
20,0.5,0.1,True,1,13,676.0,676.0,21,0.0,3,"[1, 10, 13]",spfa
20,0.5,0.1,True,4,1,801.0,801.0,25,0.0,2,"[4, 1]",spfa
20,0.5,0.5,False,1,15,434.0,434.0,2,0.0,2,"[1, 15]",astar
20,0.5,0.5,False,13,8,223.0,223.0,2,0.0,2,"[13, 8]",astar
20,0.5,0.5,False,8,17,214.0,214.0,2,0.0,2,"[8, 17]",astar
20,0.5,0.5,False,1,13,879.0,879.0,3,0.0,2,"[1, 13]",astar
20,0.5,0.5,False,4,1,1096.0,1096.0,3,0.0,2,"[4, 1]",astar
20,0.5,0.8,False,1,15,518.0,518.0,2,0.0,2,"[1, 15]",astar
20,0.5,0.8,False,13,8,303.0,303.0,2,0.0,2,"[13, 8]",astar
20,0.5,0.8,False,8,17,251.0,251.0,2,0.0,2,"[8, 17]",astar
20,0.5,0.8,False,1,13,949.0,949.0,3,0.0,2,"[1, 13]",astar
20,0.5,0.8,False,4,1,1291.0,1291.0,4,0.0,2,"[4, 1]",astar
20,0.8,0.0,False,1,15,293.0,293.0,2,0.0,2,"[1, 15]",astar
20,0.8,0.0,False,13,8,90.0,90.0,2,0.0,2,"[13, 8]",astar
20,0.8,0.0,False,8,17,152.0,152.0,2,0.0,2,"[8, 17]",astar
20,0.8,0.0,False,1,13,762.0,762.0,2,0.0,2,"[1, 13]",astar
20,0.8,0.0,False,4,1,771.0,771.0,2,0.0,2,"[4, 1]",astar
20,0.8,0.0,True,1,15,293.0,293.0,20,0.0,2,"[1, 15]",spfa
20,0.8,0.0,True,13,8,90.0,90.0,20,0.0,2,"[13, 8]",spfa
20,0.8,0.0,True,8,17,152.0,152.0,20,0.0,2,"[8, 17]",spfa
20,0.8,0.0,True,1,13,762.0,762.0,20,0.0,2,"[1, 13]",spfa
20,0.8,0.0,True,4,1,771.0,771.0,20,0.0,2,"[4, 1]",spfa
20,0.8,0.1,False,1,15,321.0,321.0,2,0.0,2,"[1, 15]",astar
20,0.8,0.1,False,13,8,117.0,117.0,2,0.0,2,"[13, 8]",astar
20,0.8,0.1,False,8,17,164.0,164.0,2,0.0,2,"[8, 17]",astar
20,0.8,0.1,False,1,13,785.0,785.0,2,0.0,2,"[1, 13]",astar
20,0.8,0.1,False,4,1,836.0,836.0,2,0.0,2,"[4, 1]",astar
20,0.8,0.1,True,1,15,249.0,249.0,32,0.0,2,"[1, 15]",spfa
20,0.8,0.1,True,13,8,43.0,43.0,27,0.0,2,"[13, 8]",spfa
20,0.8,0.1,True,8,17,76.0,76.0,31,0.0,2,"[8, 17]",spfa
20,0.8,0.1,True,1,13,622.0,622.0,32,0.0,5,"[1, 9, 0, 10, 13]",spfa
20,0.8,0.1,True,4,1,801.0,801.0,24,0.0,2,"[4, 1]",spfa
20,0.8,0.5,False,1,15,434.0,434.0,2,0.0,2,"[1, 15]",astar
20,0.8,0.5,False,13,8,223.0,223.0,2,0.0,2,"[13, 8]",astar
20,0.8,0.5,False,8,17,214.0,214.0,2,0.0,2,"[8, 17]",astar
20,0.8,0.5,False,1,13,879.0,879.0,3,0.0,2,"[1, 13]",astar
20,0.8,0.5,False,4,1,1096.0,1096.0,5,0.0,2,"[4, 1]",astar
20,0.8,0.8,False,1,15,518.0,518.0,2,0.0,2,"[1, 15]",astar
20,0.8,0.8,False,13,8,303.0,303.0,2,0.0,2,"[13, 8]",astar
20,0.8,0.8,False,8,17,251.0,251.0,2,0.0,2,"[8, 17]",astar
20,0.8,0.8,False,1,13,949.0,949.0,3,0.0,2,"[1, 13]",astar
20,0.8,0.8,False,4,1,1291.0,1291.0,6,0.0,2,"[4, 1]",astar
20,1.0,0.0,False,1,15,293.0,293.0,2,0.0,2,"[1, 15]",astar
20,1.0,0.0,False,13,8,90.0,90.0,2,0.0,2,"[13, 8]",astar
20,1.0,0.0,False,8,17,152.0,152.0,2,0.0,2,"[8, 17]",astar
20,1.0,0.0,False,1,13,762.0,762.0,2,0.0,2,"[1, 13]",astar
20,1.0,0.0,False,4,1,771.0,771.0,2,0.0,2,"[4, 1]",astar
20,1.0,0.0,True,1,15,293.0,293.0,20,0.0,2,"[1, 15]",spfa
20,1.0,0.0,True,13,8,90.0,90.0,21,0.0,2,"[13, 8]",spfa
20,1.0,0.0,True,8,17,152.0,152.0,20,0.0,2,"[8, 17]",spfa
20,1.0,0.0,True,1,13,762.0,762.0,20,0.0,2,"[1, 13]",spfa
20,1.0,0.0,True,4,1,771.0,771.0,20,0.0,2,"[4, 1]",spfa
20,1.0,0.1,False,1,15,321.0,321.0,2,0.0,2,"[1, 15]",astar
20,1.0,0.1,False,13,8,117.0,117.0,2,0.0,2,"[13, 8]",astar
20,1.0,0.1,False,8,17,164.0,164.0,2,0.0,2,"[8, 17]",astar
20,1.0,0.1,False,1,13,785.0,785.0,2,0.0,2,"[1, 13]",astar
20,1.0,0.1,False,4,1,836.0,836.0,2,0.0,2,"[4, 1]",astar
20,1.0,0.1,True,1,15,249.0,249.0,37,0.0,2,"[1, 15]",spfa
20,1.0,0.1,True,13,8,43.0,43.0,36,0.0,2,"[13, 8]",spfa
20,1.0,0.1,True,8,17,76.0,76.0,33,0.0,2,"[8, 17]",spfa
20,1.0,0.1,True,1,13,622.0,622.0,37,0.0,5,"[1, 9, 0, 10, 13]",spfa
20,1.0,0.1,True,4,1,697.0,697.0,31,0.0,3,"[4, 19, 1]",spfa
20,1.0,0.5,False,1,15,434.0,434.0,2,0.0,2,"[1, 15]",astar
20,1.0,0.5,False,13,8,223.0,223.0,2,0.0,2,"[13, 8]",astar
20,1.0,0.5,False,8,17,214.0,214.0,2,0.0,2,"[8, 17]",astar
20,1.0,0.5,False,1,13,879.0,879.0,3,0.0,2,"[1, 13]",astar
20,1.0,0.5,False,4,1,932.0,932.0,3,0.0,3,"[4, 19, 1]",astar
20,1.0,0.8,False,1,15,518.0,518.0,2,0.0,2,"[1, 15]",astar
20,1.0,0.8,False,13,8,303.0,303.0,2,0.0,2,"[13, 8]",astar
20,1.0,0.8,False,8,17,251.0,251.0,2,0.0,2,"[8, 17]",astar
20,1.0,0.8,False,1,13,949.0,949.0,3,0.0,2,"[1, 13]",astar
20,1.0,0.8,False,4,1,968.0,968.0,3,0.0,3,"[4, 19, 1]",astar
50,0.2,0.0,False,4,38,691.0,691.0,5,0.0,4,"[4, 14, 18, 38]",astar
50,0.2,0.0,False,32,21,250.0,250.0,2,0.0,2,"[32, 21]",astar
